# _root_ For holders who decide not to tender their shares , Sea Containers will issue one share of preferred stock with a stated value of $ 25 , plus a cash dividend on the common stock .
#goldHeads=13,1,4,2,7,7,4,9,7,13,12,13,0,13,16,28,16,19,17,19,23,23,20,23,26,24,28,14,31,31,28,31,35,35,32,13,
#predictedHeads=13,1,4,2,4,7,4,9,7,13,12,13,0,13,16,14,16,19,17,14,23,23,28,23,26,24,28,20,31,31,28,31,35,35,32,13,
(24,26),(26,25),(26,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,25),(26,-1),-0.145976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,24),(26,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,24),(26,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,24),(26,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,24),(26,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,24),(26,-1),-0.14502 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,26),(26,23),(26,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,23),(26,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,23),(26,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,23),(26,-1),-0.112552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,22),(26,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,22),(26,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,22),(26,-1),-0.106733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,21),(26,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,21),(26,-1),-0.134593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,17),(26,-1),-0.14502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,28),(28,29),-0.0353513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,30),0.149282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,31),0.151865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,32),-0.0968079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,33),-0.0343549 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,34),-0.0284036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,35),0.154821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,36),-0.0420178 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,37),-0.188543 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,28),(28,29),(28,30),-0.0423765 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,29),(28,31),-0.0423765 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,29),(28,32),-0.0409417 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,29),(28,33),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,29),(28,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,29),(28,35),-0.0423765 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,29),(28,36),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,29),(28,37),-0.0183807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,30),(28,31),-0.108627 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,30),(28,32),-0.0335573 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,30),(28,33),-0.0421496 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,30),(28,34),-0.0391763 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,30),(28,35),-0.109031 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,30),(28,36),-0.0370673 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,30),(28,37),0.0514186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,31),(28,32),-0.0336136 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,31),(28,33),-0.0421496 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,31),(28,34),-0.0391763 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,31),(28,35),-0.108641 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,31),(28,36),-0.0370673 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,31),(28,37),0.0535435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,32),(28,33),-0.0420053 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,32),(28,34),-0.0422226 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,32),(28,35),-0.0523546 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,32),(28,36),-0.041999 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,32),(28,37),-0.0314943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,33),(28,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,33),(28,35),-0.0423014 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,33),(28,36),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,33),(28,37),-0.017352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,34),(28,35),-0.00658813 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,34),(28,36),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,34),(28,37),-0.0984934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,35),(28,36),-0.0370673 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,35),(28,37),0.0583553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,36),(28,37),-0.0458955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,28),(28,27),0.0569219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,26),0.191066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,25),0.111702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,24),0.108653 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,28),(28,28),(28,23),-0.125331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,22),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,21),-0.125122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,20),-0.12556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,19),-0.125331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,18),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,17),-0.125642 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,16),-0.125331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,15),-0.12523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,14),-0.130644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,13),-0.124951 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,12),-0.125331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,11),-0.125331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,9),-0.125331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,7),-0.130644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,6),-0.124913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,5),-0.12502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,4),-0.130644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,3),-0.125004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,2),-0.125331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,1),-0.12556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,-1),-0.16971 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,28),(28,27),(28,26),0.155857 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,25),0.178477 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,24),0.102425 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,27),(28,23),-0.125624 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,22),-0.124895 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,20),-0.12685 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,19),-0.125624 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,18),-0.124895 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,17),-0.126829 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,16),-0.125624 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,15),-0.125094 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,14),-0.132916 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,13),-0.127021 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,12),-0.125624 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,11),-0.125624 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,9),-0.125648 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,7),-0.132916 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,5),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,4),-0.132916 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,3),-0.1259 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,2),-0.125624 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,1),-0.126831 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,-1),-0.159896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,26),(28,25),0.103667 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,24),0.113213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,26),(28,23),-0.124933 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,20),-0.124887 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,19),-0.124933 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,17),-0.124887 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,16),-0.124933 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,14),-0.125085 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,12),-0.124933 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,11),-0.124933 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,9),-0.124933 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,7),-0.125085 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,5),-0.124886 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,4),-0.125085 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,2),-0.124933 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,1),-0.124887 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,-1),-0.0509453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,25),(28,24),0.137292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,25),(28,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,13),-0.124901 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,5),-0.125012 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,-1),-0.112826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,24),(28,23),-0.125171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,19),-0.125171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,16),-0.125171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,12),-0.125171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,11),-0.125171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,9),-0.125171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,2),-0.125171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,24),(28,-1),-0.184467 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,28),(28,23),(28,22),-0.125435 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,21),-0.127199 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,20),-0.125318 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,19),-0.126248 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,18),-0.125435 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,17),-0.125321 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,16),-0.126248 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,15),-0.124979 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,14),-0.127265 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,13),-0.12493 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,12),-0.126248 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,11),-0.126248 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,10),-0.12547 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,9),-0.127076 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,7),-0.127265 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,5),-0.124913 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,4),-0.127265 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,2),-0.126248 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,1),-0.125373 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,-1),-0.184312 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,22),(28,21),-0.124905 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,20),-0.124894 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,19),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,17),-0.124894 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,16),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,14),-0.125063 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,12),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,11),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,9),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,7),-0.125063 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,5),-0.124908 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,4),-0.125063 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,2),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,1),-0.124894 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,22),(28,-1),-0.114257 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,21),(28,20),-0.124979 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,19),-0.124895 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,17),-0.124979 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,16),-0.124895 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,14),-0.124962 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,12),-0.124895 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,11),-0.124895 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,9),-0.124895 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,7),-0.124962 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,5),-0.124891 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,4),-0.124962 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,1),-0.124979 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,21),(28,-1),-0.162071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,20),(28,19),-0.125171 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,16),-0.125171 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,12),-0.125171 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,11),-0.125171 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,9),-0.125171 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,2),-0.125171 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,20),(28,-1),-0.181203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,19),(28,18),-0.125435 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,17),-0.125321 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,16),-0.126248 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,15),-0.124979 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,14),-0.127265 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,13),-0.12493 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,12),-0.126248 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,11),-0.126248 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,10),-0.12547 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,9),-0.127076 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,7),-0.127265 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,5),-0.124913 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,4),-0.127265 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,2),-0.126248 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,1),-0.125373 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,19),(28,-1),-0.185437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,18),(28,17),-0.124894 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,16),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,14),-0.125063 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,12),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,11),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,9),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,7),-0.125063 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,5),-0.124908 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,4),-0.125063 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,2),-0.124898 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,1),-0.124894 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,18),(28,-1),-0.11309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,17),(28,16),-0.125171 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,17),(28,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,17),(28,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,17),(28,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
